Company,Location_HQ,Industry,Laid_Off_Count,Percentage,Date,Source,Country,Stage,Funds_Raised_USD
Acko,"Mumbai, Non-U.S.",Finance,60,0.05,20/04/2026,https://inc42.com/buzz/acko-cuts-5-workforce-in-pre-ipo-restructuring/,India,Unknown,143
Meta,SF Bay Area,Consumer,8000,0.1,17/04/2026,https://www.reuters.com/world/meta-targets-may-20-first-wave-layoffs-additional-cuts-later-2026-2026-04-17/,United States,Post-IPO,26000
Shutterfly,"Haifa, Non-U.S.",Manufacturing,80,,16/04/2026,https://www.calcalistech.com/ctechnews/article/rkx2avanzg,United States,Post-IPO,50
Quora,SF Bay Area,Consumer,,,16/04/2026,https://quorablog.quora.com/Update?ch=10&oid=246876762&share=572b9cd0&srid=57WTZa&target_type=post,United States,Series D,226
Snap,Los Angeles,Consumer,1000,0.16,15/04/2026,https://www.cnbc.com/2026/04/15/snap-stock-layoffs-16-percent-workforce.html,United States,Post-IPO,4900
UKG,Boston,HR,950,,15/04/2026,https://www.sun-sentinel.com/2026/04/16/ukg-formerly-ultimate-software-lays-off-950-employees-many-from-south-florida-offices/,United States,Unknown,
Productboard,SF Bay Area,Product,,0.3,15/04/2026,https://www.linkedin.com/pulse/productboard-going-ai-only-heres-what-means-hubert-palan-h1ozc/?trackingId=xrFN60pCTAaxJwMPkmzg1Q%3D%3D,United States,Series D,
Eventbrite,SF Bay Area,Consumer,,,13/04/2026,https://www.reuters.com/technology/bending-spoons-cuts-eventbrite-staff-rolls-out-product-changes-after-takeover-2026-04-13/,United States,Acquired,290
StarkWare,"Tel Aviv, Non-U.S.",Crypto,,,13/04/2026,https://www.calcalistech.com/ctechnews/article/sy7u2uq3wx,Israel,Series D,273
Cars.com,Chicago,Transportation,,0.11,09/04/2026,https://www.marketwatch.com/story/cars-com-to-lay-off-11-of-full-time-workforce-amid-ai-push-update-bb0c9f35,United States,Acquired,
Pepper Pay,Miami,Finance,,1,09/04/2026,https://www.americanbanker.com/news/payments-fintech-pepper-pay-declares-bankruptcy,United States,Unknown,
GoPro,SF Bay Area,Consumer,145,0.23,07/04/2026,https://www.wsj.com/business/gopro-to-eliminate-23-of-workforce-in-cost-cutting-move-ca5ba06b,United States,Post-IPO,288
Pendo,Raleigh,Product,90,0.1,07/04/2026,https://www.axios.com/local/raleigh/2026/04/07/raleigh-software-unicorn-pendo-layoffs-jobs,United States,Series F,469
Bolt,SF Bay Area,Finance,,0.33,05/04/2026,https://www.pymnts.com/digital-payments/2026/bolt-cuts-third-of-staff-amid-new-ai-focus/,United States,Series E,1300
NeuroPixel.AI,"Bengaluru, Non-U.S.",Retail,,1,03/04/2026,https://entrackr.com/news/flipkart-backed-neuropixelai-shuts-operations-amid-financial-strain-11448982,India,Seed,1
Vimeo,New York City,Consumer,,,03/04/2026,https://hoodline.com/2026/04/vimeo-axes-quarter-of-midtown-staff-after-billion-dollar-takeover/,United States,Post-IPO,450
Meta,SF Bay Area,Consumer,200,,02/04/2026,https://www.sfchronicle.com/tech/article/meta-layoffs-silicon-valley-22186184.php,United States,Post-IPO,26000
Sonos,Santa Barbara,Consumer,,,01/04/2026,https://www.bloomberg.com/news/articles/2026-04-01/sonos-makes-marketing-cuts-as-new-cmo-reshapes-division,United States,Post-IPO,455.2
Oracle,SF Bay Area,Other,30000,,31/03/2026,https://www.cnbc.com/2026/03/31/oracle-layoffs-ai-spending.html,United States,Post-IPO,
Monzo,"London, Non-U.S.",Finance,50,,31/03/2026,https://www.bloomberg.com/news/articles/2026-03-31/fintech-monzo-shutting-down-us-operations-to-focus-on-uk-europe,United Kingdom,Series F,324
Covrzy,"Bengaluru, Non-U.S.",Finance,,1,31/03/2026,https://inc42.com/buzz/antler-backed-covrzy-shuts-down-due-to-cash-crunch/,India,Seed,
Rec Room,Seattle,Consumer,,1,31/03/2026,https://techcrunch.com/2026/03/31/social-gaming-platform-rec-room-once-valued-at-3-5b-is-shutting-down/,United States,Series F,294
Yupp,SF Bay Area,AI,,1,31/03/2026,https://techcrunch.com/2026/03/31/yupp-ai-shuts-down-33m-a16z-crypto-chris-dixon/,United States,Seed,33
Enpal,"Berlin, Non-U.S.",Energy,100,,27/03/2026,https://www.businessinsider.de/gruenderszene/business/enpal-alle-zugaenge-kurz-nach-bekanntgabe-gesperrt-fast-100-mitarbeiter-entlassen/,Germany,Series E,3500
Monte Carlo,SF Bay Area,Data,,0.3,26/03/2026,https://www.linkedin.com/feed/update/urn:li:activity:7442678720647184385/,United States,Series D,236
Quandoo,"Berlin, Non-U.S.",Food,,1,26/03/2026,https://finance.yahoo.com/markets/stocks/articles/quandoo-shut-restaurant-booking-platform-112913577.html,Germany,Acquired,39
Epic Games,Raleigh,Consumer,1000,,24/03/2026,https://www.epicgames.com/site/en-US/news/todays-layoffs,United States,Unknown,6400
Zendesk,SF Bay Area,Support,100,,24/03/2026,Internal memo,United States,Acquired,85
OpenText,"Waterloo, Non-U.S.",Data,,,24/03/2026,https://betakit.com/opentext-employees-report-job-cuts-tied-to-apparent-restructuring/,Canada,Post-IPO,1100
Spotify,"Stockholm, Non-U.S.",Media,15,,23/03/2026,https://variety.com/2026/digital/news/spotify-podcast-layoffs-the-ringer-spotify-studios-1236697019/,Sweden,Post-IPO,2100
Gemini,New York City,Crypto,,0.3,20/03/2026,https://www.bloomberg.com/news/articles/2026-03-19/winklevosses-says-jobs-cuts-at-gemini-exchange-reach-30?embedded-checkout=true,United States,Unknown,423
Crypto.com,"Singapore, Non-U.S.",Crypto,,0.12,19/03/2026,https://www.cnbc.com/2026/03/19/crypto-com-layoffs-12percent-ai-job-loss.html,Singapore,Unknown,
Snowflake,SF Bay Area,Data,,,19/03/2026,https://www.businessinsider.com/snowflake-layoffs-strategy-ai-growth-2026-3,United States,Post-IPO,2900
FranShares,Chicago,Finance,,1,17/03/2026,https://www.bizjournals.com/chicago/news/2026/03/17/franshares-chicago-startup-shuts-down.html,United States,Seed,6
