Sector,Company Size Band,AI Readiness Band,Cell Population,Avg Funding,Avg Hiring Velocity,Avg Bench-Match Score
Unknown,Unknown,1,25,0.0,1.89,7.8
Consulting,1-10,0,19,84210.53,0.25,5.05
Unknown,Unknown,0,18,0.0,0.64,5.78
Advertising,1-10,1,13,53846.15,2.48,6.92
Consulting,1-10,1,10,0.0,1.87,7.0
Advertising,1-10,0,9,0.0,0.58,4.89
Consulting,11-50,1,8,0.0,2.25,7.25
Health Care,11-50,0,8,975000.0,0.43,4.12
Financial Services,1-10,0,8,0.0,0.29,4.75
Artificial Intelligence (AI),1-10,1,7,453571.43,2.46,6.14
Health Care,11-50,1,7,0.0,1.79,6.86
Unknown,1-10,0,7,35714285.71,0.27,6.57
Apps,1-10,1,6,341666.67,1.76,6.67
Health Care,1-10,1,6,1166666.67,2.05,7.33
Unknown,1-10,1,6,89833.33,1.05,6.33
Advice,1-10,0,6,0.0,0.1,4.5
Information Technology,1-10,1,5,0.0,1.71,7.6
Building Material,11-50,0,5,0.0,0.26,4.0
E-Commerce,1-10,0,5,200000.0,0.46,5.0
Finance,1-10,0,5,0.0,0.24,5.8
Advice,11-50,0,5,0.0,-0.27,5.4
Manufacturing,11-50,1,5,0.0,1.72,5.2
Construction,11-50,1,5,0.0,1.84,6.4
Consulting,11-50,0,5,0.0,0.56,4.6
Financial Services,11-50,1,5,0.0,2.07,5.6
Financial Services,11-50,0,5,0.0,0.44,7.6
Finance,Unknown,1,5,0.0,2.15,8.8
Unknown,Unknown,2,4,0.0,2.92,6.5
E-Commerce,Unknown,0,4,0.0,0.08,6.75
Information Technology,1-10,0,4,0.0,0.38,2.75
Industrial,11-50,0,4,0.0,0.76,4.5
Unknown,11-50,0,4,0.0,0.45,3.75
Industrial,1-10,1,4,0.0,1.86,6.5
B2B,11-50,0,4,0.0,0.26,6.25
Digital Marketing,11-50,1,4,0.0,1.8,7.25
Electronics,11-50,0,4,0.0,0.28,6.5
E-Commerce,1-10,1,4,0.0,1.55,7.0
Commercial,11-50,0,4,0.0,0.45,5.5
Information Technology,11-50,0,4,0.0,0.33,5.5
Health Care,Unknown,1,4,22500000.0,1.66,6.75
Software,Unknown,0,4,0.0,0.61,7.0
Consulting,Unknown,1,4,0.0,2.02,8.0
Banking,101-250,0,4,0.0,0.45,5.0
Advice,11-50,1,4,0.0,2.28,7.25
Construction,1-10,0,4,0.0,0.34,5.25
Unknown,11-50,1,4,0.0,2.44,6.0
Advertising,11-50,1,4,0.0,2.08,6.0
Industrial,11-50,1,3,0.0,1.94,8.33
Consulting,1-10,2,3,0.0,1.46,9.67
Architecture,11-50,0,3,0.0,0.01,3.0
Internet,1-10,1,3,6333333.33,2.38,6.67
Apps,1-10,2,3,6666.67,2.62,9.33
Food and Beverage,Unknown,0,3,0.0,0.61,6.67
Advertising,11-50,0,3,0.0,0.55,5.0
Education,1-10,0,3,1000000.0,1.0,4.33
Food and Beverage,11-50,1,3,0.0,2.33,8.33
Automotive,1-10,1,3,8823666.67,1.09,9.33
Education,1-10,1,3,0.0,2.14,7.0
Information Technology,11-50,1,3,0.0,1.92,7.33
Education,11-50,0,3,0.0,-0.24,3.33
Internet,1-10,0,3,0.0,0.99,8.67
Health Care,1-10,0,3,0.0,0.43,6.67
Software,1-10,0,3,0.0,0.49,6.67
Logistics,1-10,1,3,0.0,2.15,7.33
Electronics,500+,0,3,0.0,0.27,2.67
Property Management,11-50,1,3,0.0,1.44,6.33
Property Management,1-10,1,3,0.0,2.27,8.33
Property Management,11-50,0,3,0.0,-0.2,8.67
Analytics,1-10,1,3,0.0,2.06,5.67
Unknown,11-50,2,3,0.0,1.6,8.33
Dental,11-50,0,3,0.0,0.73,6.33
Asset Management,1-10,1,3,0.0,2.39,5.33
Biotechnology,1-10,1,3,1247916.67,1.06,8.0
Financial Services,1-10,1,3,0.0,2.17,8.33
Education,Unknown,1,3,0.0,3.08,8.33
Computer,1-10,0,2,0.0,0.22,3.0
Apps,11-50,0,2,0.0,-0.26,5.5
Energy,101-250,1,2,0.0,0.94,9.0
Dental,1-10,1,2,0.0,1.98,6.0
Unknown,1-10,2,2,0.0,2.14,8.0
Recycling,11-50,1,2,0.0,3.15,5.5
Data Center,1-10,1,2,2049999.5,1.45,10.0
Beauty,1-10,1,2,0.0,2.13,9.5
Commercial Real Estate,11-50,1,2,0.0,3.19,3.5
Customer Service,11-50,1,2,0.0,1.88,9.5
Elder Care,1-10,0,2,0.0,0.82,4.5
Advice,Unknown,0,2,0.0,0.63,5.0
Property Management,Unknown,1,2,0.0,2.96,6.5
Building Material,101-250,1,2,0.0,1.74,9.0
Advertising,1-10,2,2,7500000.0,1.5,9.5
EdTech,101-250,0,2,15000000.0,0.69,6.0
Graphic Design,11-50,0,2,0.0,0.26,4.5
Biotechnology,101-250,0,2,50000000.0,0.22,7.0
Software,1-10,1,2,0.0,1.88,9.0
Accounting,Unknown,0,2,0.0,0.64,6.0
Health Care,Unknown,2,2,0.0,2.13,8.5
Accounting,Unknown,1,2,0.0,1.1,6.5
Education,101-250,0,2,0.0,1.0,3.5
